image,split,ty,tx,luma_std,entropy,kept,luma_mean
163230712_K23250_F1A02-1323_1_22.jpg,train,2,4,11.33,5.03,1,57.98
163230712_K23250_F1A02-1323_1_22.jpg,train,3,0,3.87,3.531,0,80.62
163230712_K23250_F1A02-1323_1_22.jpg,train,3,1,2.98,3.362,0,80.86
163230712_K23250_F1A02-1323_1_22.jpg,train,3,2,3.87,3.908,0,75.04
163230712_K23250_F1A02-1323_1_22.jpg,train,3,3,9.95,4.657,1,70.81
163230712_K23250_F1A02-1323_1_22.jpg,train,3,4,10.28,5.045,1,57.8
163230712_K23250_F1A02-1323_1_22.jpg,train,4,0,16.55,5.106,1,70.07
163230712_K23250_F1A02-1323_1_22.jpg,train,4,1,9.21,4.755,1,78.42
163230712_K23250_F1A02-1323_1_22.jpg,train,4,2,10.07,4.945,1,68.72
163230712_K23250_F1A02-1323_1_22.jpg,train,4,3,9.84,4.528,1,58.37
163230712_K23250_F1A02-1323_1_22.jpg,train,4,4,10.56,4.573,1,49.36
163216583_K22726_F1A02-1295_1_22.jpg,train,0,0,6.08,4.523,0,64.29
163216583_K22726_F1A02-1295_1_22.jpg,train,0,1,5.65,4.458,0,73.75
163216583_K22726_F1A02-1295_1_22.jpg,train,0,2,7.22,4.337,0,72.28
163216583_K22726_F1A02-1295_1_22.jpg,train,0,3,9.63,4.779,1,64.14
163216583_K22726_F1A02-1295_1_22.jpg,train,0,4,10.31,5.086,1,46.63
163216583_K22726_F1A02-1295_1_22.jpg,train,1,0,8.29,4.697,1,73.36
163216583_K22726_F1A02-1295_1_22.jpg,train,1,1,6.37,4.416,0,79.39
163216583_K22726_F1A02-1295_1_22.jpg,train,1,2,7.59,4.62,0,79.34
163216583_K22726_F1A02-1295_1_22.jpg,train,1,3,10.62,4.889,1,68.33
163216583_K22726_F1A02-1295_1_22.jpg,train,1,4,11.14,4.8,1,45.78
163216583_K22726_F1A02-1295_1_22.jpg,train,2,0,7.64,4.266,0,80.8
163216583_K22726_F1A02-1295_1_22.jpg,train,2,1,6.36,3.833,0,83.67
163216583_K22726_F1A02-1295_1_22.jpg,train,2,2,10.23,4.402,1,83.15
163216583_K22726_F1A02-1295_1_22.jpg,train,2,3,13.21,5.006,1,76.67
163216583_K22726_F1A02-1295_1_22.jpg,train,2,4,13.26,5.176,1,52.08
163216583_K22726_F1A02-1295_1_22.jpg,train,3,0,5.19,4.121,0,81.92
163216583_K22726_F1A02-1295_1_22.jpg,train,3,1,3.37,3.563,0,84.2
163216583_K22726_F1A02-1295_1_22.jpg,train,3,2,4.29,4.045,0,78.3
163216583_K22726_F1A02-1295_1_22.jpg,train,3,3,9.1,4.833,1,70.07
163216583_K22726_F1A02-1295_1_22.jpg,train,3,4,10.67,5.085,1,55.46
163216583_K22726_F1A02-1295_1_22.jpg,train,4,0,11.27,5.238,1,76.79
163216583_K22726_F1A02-1295_1_22.jpg,train,4,1,9.25,4.494,1,79.25
163216583_K22726_F1A02-1295_1_22.jpg,train,4,2,11.02,4.87,1,73.98
163216583_K22726_F1A02-1295_1_22.jpg,train,4,3,11.16,5.057,1,58.35
163216583_K22726_F1A02-1295_1_22.jpg,train,4,4,7.72,4.334,0,46.71
163215470_K22685_F1A02-1293_1_22.jpg,train,0,0,6.61,4.462,0,63.26
163215470_K22685_F1A02-1293_1_22.jpg,train,0,1,10.6,5.151,1,68.93
163215470_K22685_F1A02-1293_1_22.jpg,train,0,2,9.68,4.606,1,70.33
163215470_K22685_F1A02-1293_1_22.jpg,train,0,3,9.55,4.873,1,64.28
163215470_K22685_F1A02-1293_1_22.jpg,train,0,4,11.31,5.07,1,45.48
163215470_K22685_F1A02-1293_1_22.jpg,train,1,0,5.0,4.156,0,73.81
163215470_K22685_F1A02-1293_1_22.jpg,train,1,1,8.08,4.582,1,77.47
163215470_K22685_F1A02-1293_1_22.jpg,train,1,2,7.89,4.688,0,78.23
163215470_K22685_F1A02-1293_1_22.jpg,train,1,3,7.71,4.588,0,70.25
163215470_K22685_F1A02-1293_1_22.jpg,train,1,4,11.64,4.956,1,55.84
163215470_K22685_F1A02-1293_1_22.jpg,train,2,0,2.97,3.6,0,80.22
163215470_K22685_F1A02-1293_1_22.jpg,train,2,1,9.15,4.329,1,82.22
163215470_K22685_F1A02-1293_1_22.jpg,train,2,2,12.0,4.91,1,85.01
163215470_K22685_F1A02-1293_1_22.jpg,train,2,3,9.06,4.739,1,76.07
163215470_K22685_F1A02-1293_1_22.jpg,train,2,4,6.76,4.426,0,63.76
163215470_K22685_F1A02-1293_1_22.jpg,train,3,0,4.24,3.995,0,82.49
163215470_K22685_F1A02-1293_1_22.jpg,train,3,1,5.14,3.855,0,82.57
163215470_K22685_F1A02-1293_1_22.jpg,train,3,2,4.8,4.127,0,78.29
163215470_K22685_F1A02-1293_1_22.jpg,train,3,3,8.46,4.823,1,70.27
163215470_K22685_F1A02-1293_1_22.jpg,train,3,4,8.43,4.88,1,58.82
163215470_K22685_F1A02-1293_1_22.jpg,train,4,0,11.85,5.293,1,76.31
163215470_K22685_F1A02-1293_1_22.jpg,train,4,1,9.31,4.661,1,78.55
163215470_K22685_F1A02-1293_1_22.jpg,train,4,2,10.41,4.806,1,74.43
163215470_K22685_F1A02-1293_1_22.jpg,train,4,3,10.88,5.039,1,59.42
163215470_K22685_F1A02-1293_1_22.jpg,train,4,4,8.24,4.409,1,48.31
163220563_K22876_F1A02-1303_1_22.jpg,train,0,0,7.54,4.8,0,65.14
163220563_K22876_F1A02-1303_1_22.jpg,train,0,1,4.5,4.163,0,74.56
163220563_K22876_F1A02-1303_1_22.jpg,train,0,2,9.06,4.785,1,71.67
163220563_K22876_F1A02-1303_1_22.jpg,train,0,3,9.52,4.856,1,63.14
163220563_K22876_F1A02-1303_1_22.jpg,train,0,4,5.89,4.461,0,55.74
163220563_K22876_F1A02-1303_1_22.jpg,train,1,0,7.21,4.428,0,73.3
163220563_K22876_F1A02-1303_1_22.jpg,train,1,1,6.34,4.326,0,78.43
163220563_K22876_F1A02-1303_1_22.jpg,train,1,2,8.29,4.581,1,77.59
163220563_K22876_F1A02-1303_1_22.jpg,train,1,3,12.7,5.118,1,62.41
163220563_K22876_F1A02-1303_1_22.jpg,train,1,4,8.15,4.454,1,56.4
163220563_K22876_F1A02-1303_1_22.jpg,train,2,0,7.24,4.31,0,80.48
163220563_K22876_F1A02-1303_1_22.jpg,train,2,1,6.58,3.896,0,83.02
163220563_K22876_F1A02-1303_1_22.jpg,train,2,2,10.92,4.529,1,82.89
163220563_K22876_F1A02-1303_1_22.jpg,train,2,3,17.14,5.62,1,73.86
163220563_K22876_F1A02-1303_1_22.jpg,train,2,4,6.8,4.514,0,57.91
163220563_K22876_F1A02-1303_1_22.jpg,train,3,0,4.59,3.941,0,82.59
163220563_K22876_F1A02-1303_1_22.jpg,train,3,1,3.25,3.417,0,83.45
163220563_K22876_F1A02-1303_1_22.jpg,train,3,2,5.12,4.196,0,77.24
163220563_K22876_F1A02-1303_1_22.jpg,train,3,3,13.38,5.06,1,70.41
163220563_K22876_F1A02-1303_1_22.jpg,train,3,4,4.58,4.187,0,58.18
163220563_K22876_F1A02-1303_1_22.jpg,train,4,0,9.59,4.989,1,78.57
163220563_K22876_F1A02-1303_1_22.jpg,train,4,1,9.91,4.43,1,79.28
163220563_K22876_F1A02-1303_1_22.jpg,train,4,2,12.02,5.097,1,72.19
163220563_K22876_F1A02-1303_1_22.jpg,train,4,3,9.06,4.778,1,61.87
163220563_K22876_F1A02-1303_1_22.jpg,train,4,4,6.86,4.617,0,53.33
163225372_K23050_F1A02-1313_1_22.jpg,train,0,0,9.1,4.586,1,45.68
163225372_K23050_F1A02-1313_1_22.jpg,train,0,1,8.81,4.175,1,51.12
163225372_K23050_F1A02-1313_1_22.jpg,train,0,2,11.54,4.243,1,39.95
163225372_K23050_F1A02-1313_1_22.jpg,train,0,3,1.46,2.477,0,29.18
163225372_K23050_F1A02-1313_1_22.jpg,train,0,4,1.08,2.126,0,28.08
163225372_K23050_F1A02-1313_1_22.jpg,train,1,0,8.95,4.532,1,49.89
163225372_K23050_F1A02-1313_1_22.jpg,train,1,1,8.08,4.345,1,54.09
163225372_K23050_F1A02-1313_1_22.jpg,train,1,2,11.99,4.79,1,41.54
163225372_K23050_F1A02-1313_1_22.jpg,train,1,3,6.39,3.997,0,33.94
163225372_K23050_F1A02-1313_1_22.jpg,train,1,4,1.86,2.898,0,31.1
163225372_K23050_F1A02-1313_1_22.jpg,train,2,0,14.0,5.055,1,50.89
163225372_K23050_F1A02-1313_1_22.jpg,train,2,1,10.59,4.928,1,50.43
163225372_K23050_F1A02-1313_1_22.jpg,train,2,2,19.19,4.796,1,44.17
163225372_K23050_F1A02-1313_1_22.jpg,train,2,3,17.6,5.042,1,44.57
163225372_K23050_F1A02-1313_1_22.jpg,train,2,4,5.16,3.496,0,35.82
163225372_K23050_F1A02-1313_1_22.jpg,train,3,0,7.42,4.667,0,42.38
163225372_K23050_F1A02-1313_1_22.jpg,train,3,1,6.5,4.53,0,40.81
163225372_K23050_F1A02-1313_1_22.jpg,train,3,2,15.54,3.758,1,37.68
163225372_K23050_F1A02-1313_1_22.jpg,train,3,3,19.79,4.856,1,45.53
163225372_K23050_F1A02-1313_1_22.jpg,train,3,4,6.26,3.916,0,38.5
163225372_K23050_F1A02-1313_1_22.jpg,train,4,0,4.15,3.953,0,34.47
163225372_K23050_F1A02-1313_1_22.jpg,train,4,1,3.11,3.383,0,35.98
163225372_K23050_F1A02-1313_1_22.jpg,train,4,2,1.51,2.639,0,34.54
163225372_K23050_F1A02-1313_1_22.jpg,train,4,3,2.43,2.813,0,36.47
163225372_K23050_F1A02-1313_1_22.jpg,train,4,4,4.67,3.904,0,38.21
163233619_K23370_F1A02-1329_1_22.jpg,train,0,0,6.06,4.431,0,62.95
163233619_K23370_F1A02-1329_1_22.jpg,train,0,1,7.81,4.63,0,70.65
163233619_K23370_F1A02-1329_1_22.jpg,train,0,2,5.75,4.163,0,75.6
163233619_K23370_F1A02-1329_1_22.jpg,train,0,3,7.95,4.549,0,66.8
163233619_K23370_F1A02-1329_1_22.jpg,train,0,4,5.83,4.533,0,59.41
163233619_K23370_F1A02-1329_1_22.jpg,train,1,0,4.85,4.161,0,73.87
163233619_K23370_F1A02-1329_1_22.jpg,train,1,1,7.59,4.536,0,76.39
163233619_K23370_F1A02-1329_1_22.jpg,train,1,2,7.67,4.153,0,79.02
163233619_K23370_F1A02-1329_1_22.jpg,train,1,3,8.75,4.781,1,71.11
163233619_K23370_F1A02-1329_1_22.jpg,train,1,4,11.1,5.013,1,55.2
163233619_K23370_F1A02-1329_1_22.jpg,train,2,0,2.48,3.301,0,80.27
163233619_K23370_F1A02-1329_1_22.jpg,train,2,1,10.6,3.806,1,82.52
163233619_K23370_F1A02-1329_1_22.jpg,train,2,2,14.86,4.892,1,85.19
163233619_K23370_F1A02-1329_1_22.jpg,train,2,3,14.31,5.046,1,76.82
163233619_K23370_F1A02-1329_1_22.jpg,train,2,4,11.96,5.116,1,57.17
163233619_K23370_F1A02-1329_1_22.jpg,train,3,0,3.23,3.564,0,80.35
163233619_K23370_F1A02-1329_1_22.jpg,train,3,1,3.41,3.384,0,80.57
163233619_K23370_F1A02-1329_1_22.jpg,train,3,2,4.44,4.09,0,75.2
163233619_K23370_F1A02-1329_1_22.jpg,train,3,3,10.69,4.77,1,69.56
163233619_K23370_F1A02-1329_1_22.jpg,train,3,4,11.5,5.156,1,55.78
163233619_K23370_F1A02-1329_1_22.jpg,train,4,0,17.3,5.37,1,68.36
163233619_K23370_F1A02-1329_1_22.jpg,train,4,1,9.05,4.901,1,77.78
163233619_K23370_F1A02-1329_1_22.jpg,train,4,2,6.25,4.613,0,70.24
163233619_K23370_F1A02-1329_1_22.jpg,train,4,3,4.5,4.095,0,62.86
163233619_K23370_F1A02-1329_1_22.jpg,train,4,4,9.66,4.619,1,51.39
163221501_K22910_F1A02-1305_1_22.jpg,train,0,0,7.2,4.716,0,65.91
163221501_K22910_F1A02-1305_1_22.jpg,train,0,1,4.38,4.142,0,74.55
163221501_K22910_F1A02-1305_1_22.jpg,train,0,2,9.12,4.783,1,71.46
163221501_K22910_F1A02-1305_1_22.jpg,train,0,3,7.85,4.615,0,64.86
163221501_K22910_F1A02-1305_1_22.jpg,train,0,4,5.09,4.35,0,58.28
163221501_K22910_F1A02-1305_1_22.jpg,train,1,0,6.35,4.258,0,72.81
163221501_K22910_F1A02-1305_1_22.jpg,train,1,1,6.29,4.256,0,78.44
163221501_K22910_F1A02-1305_1_22.jpg,train,1,2,7.72,4.519,0,77.27
163221501_K22910_F1A02-1305_1_22.jpg,train,1,3,11.42,5.04,1,62.95
163221501_K22910_F1A02-1305_1_22.jpg,train,1,4,9.12,4.665,1,57.59
163221501_K22910_F1A02-1305_1_22.jpg,train,2,0,9.52,4.396,1,80.7
163221501_K22910_F1A02-1305_1_22.jpg,train,2,1,7.56,3.896,0,82.39
163221501_K22910_F1A02-1305_1_22.jpg,train,2,2,11.63,4.465,1,83.37
163221501_K22910_F1A02-1305_1_22.jpg,train,2,3,17.04,5.602,1,72.2
163221501_K22910_F1A02-1305_1_22.jpg,train,2,4,6.76,4.456,0,58.38
163221501_K22910_F1A02-1305_1_22.jpg,train,3,0,4.48,3.826,0,82.24
163221501_K22910_F1A02-1305_1_22.jpg,train,3,1,3.15,3.33,0,82.66
163221501_K22910_F1A02-1305_1_22.jpg,train,3,2,8.97,4.37,1,77.78
163221501_K22910_F1A02-1305_1_22.jpg,train,3,3,15.77,5.197,1,70.31
163221501_K22910_F1A02-1305_1_22.jpg,train,3,4,4.15,4.021,0,58.91
163221501_K22910_F1A02-1305_1_22.jpg,train,4,0,9.68,4.906,1,77.95
163221501_K22910_F1A02-1305_1_22.jpg,train,4,1,10.66,4.516,1,78.51
163221501_K22910_F1A02-1305_1_22.jpg,train,4,2,13.78,5.163,1,69.02
163221501_K22910_F1A02-1305_1_22.jpg,train,4,3,9.71,4.757,1,59.7
163221501_K22910_F1A02-1305_1_22.jpg,train,4,4,7.8,4.889,0,53.7
163229635_K23211_F1A02-1321_1_22.jpg,train,0,0,6.11,4.456,0,63.72
163229635_K23211_F1A02-1321_1_22.jpg,train,0,1,7.96,4.654,0,71.97
163229635_K23211_F1A02-1321_1_22.jpg,train,0,2,5.72,4.17,0,74.88
163229635_K23211_F1A02-1321_1_22.jpg,train,0,3,8.72,4.612,1,65.88
163229635_K23211_F1A02-1321_1_22.jpg,train,0,4,7.17,4.604,0,56.92
163229635_K23211_F1A02-1321_1_22.jpg,train,1,0,4.5,4.094,0,73.2
163229635_K23211_F1A02-1321_1_22.jpg,train,1,1,7.38,4.433,0,76.92
163229635_K23211_F1A02-1321_1_22.jpg,train,1,2,8.25,4.457,1,77.66
163229635_K23211_F1A02-1321_1_22.jpg,train,1,3,13.33,5.083,1,63.04
163229635_K23211_F1A02-1321_1_22.jpg,train,1,4,9.44,4.539,1,55.65
163229635_K23211_F1A02-1321_1_22.jpg,train,2,0,2.64,3.416,0,80.08
163229635_K23211_F1A02-1321_1_22.jpg,train,2,1,9.29,3.864,1,81.82
163229635_K23211_F1A02-1321_1_22.jpg,train,2,2,12.17,4.85,1,83.57
163229635_K23211_F1A02-1321_1_22.jpg,train,2,3,12.07,5.102,1,74.3
163229635_K23211_F1A02-1321_1_22.jpg,train,2,4,9.65,5.008,1,55.33
163229635_K23211_F1A02-1321_1_22.jpg,train,3,0,2.8,3.371,0,81.37
163229635_K23211_F1A02-1321_1_22.jpg,train,3,1,3.78,3.575,0,80.24
163229635_K23211_F1A02-1321_1_22.jpg,train,3,2,4.96,4.149,0,74.7
163229635_K23211_F1A02-1321_1_22.jpg,train,3,3,10.08,4.822,1,69.98
163229635_K23211_F1A02-1321_1_22.jpg,train,3,4,8.87,4.932,1,55.96
163229635_K23211_F1A02-1321_1_22.jpg,train,4,0,13.25,5.013,1,75.32
163229635_K23211_F1A02-1321_1_22.jpg,train,4,1,9.57,4.85,1,78.46
163229635_K23211_F1A02-1321_1_22.jpg,train,4,2,9.99,4.911,1,68.44
163229635_K23211_F1A02-1321_1_22.jpg,train,4,3,11.01,4.455,1,56.25
163229635_K23211_F1A02-1321_1_22.jpg,train,4,4,8.56,4.771,1,52.55
163210768_K22524_F1A02-1285_1_22.jpg,train,0,0,6.81,4.712,0,64.52
163210768_K22524_F1A02-1285_1_22.jpg,train,0,1,7.91,4.796,0,69.66
163210768_K22524_F1A02-1285_1_22.jpg,train,0,2,5.37,3.853,0,75.45
163210768_K22524_F1A02-1285_1_22.jpg,train,0,3,10.93,5.186,1,64.33
163210768_K22524_F1A02-1285_1_22.jpg,train,0,4,5.12,4.318,0,53.07
163210768_K22524_F1A02-1285_1_22.jpg,train,1,0,4.55,4.195,0,73.43
163210768_K22524_F1A02-1285_1_22.jpg,train,1,1,7.1,4.479,0,78.69
163210768_K22524_F1A02-1285_1_22.jpg,train,1,2,7.35,4.702,0,77.31
163210768_K22524_F1A02-1285_1_22.jpg,train,1,3,9.59,4.93,1,68.97
163210768_K22524_F1A02-1285_1_22.jpg,train,1,4,9.5,4.753,1,53.62
163210768_K22524_F1A02-1285_1_22.jpg,train,2,0,2.9,3.564,0,79.38
163210768_K22524_F1A02-1285_1_22.jpg,train,2,1,9.89,4.105,1,83.23
163210768_K22524_F1A02-1285_1_22.jpg,train,2,2,12.68,4.824,1,85.33
163210768_K22524_F1A02-1285_1_22.jpg,train,2,3,10.06,4.856,1,75.73
163210768_K22524_F1A02-1285_1_22.jpg,train,2,4,10.8,5.167,1,56.26
163210768_K22524_F1A02-1285_1_22.jpg,train,3,0,4.02,3.944,0,81.91
163210768_K22524_F1A02-1285_1_22.jpg,train,3,1,3.84,3.569,0,82.92
163210768_K22524_F1A02-1285_1_22.jpg,train,3,2,4.41,4.043,0,78.14
163210768_K22524_F1A02-1285_1_22.jpg,train,3,3,7.64,4.757,0,70.01
163210768_K22524_F1A02-1285_1_22.jpg,train,3,4,9.09,4.921,1,56.09
163210768_K22524_F1A02-1285_1_22.jpg,train,4,0,11.41,5.23,1,76.34
163210768_K22524_F1A02-1285_1_22.jpg,train,4,1,8.92,4.513,1,79.31
163210768_K22524_F1A02-1285_1_22.jpg,train,4,2,10.03,4.811,1,74.44
163210768_K22524_F1A02-1285_1_22.jpg,train,4,3,10.47,5.019,1,59.56
163210768_K22524_F1A02-1285_1_22.jpg,train,4,4,7.7,4.443,0,48.23
163224318_K23010_F1A02-1311_1_22.jpg,train,0,0,6.04,4.493,0,66.12
163224318_K23010_F1A02-1311_1_22.jpg,train,0,1,4.46,4.151,0,73.91
163224318_K23010_F1A02-1311_1_22.jpg,train,0,2,11.49,4.854,1,68.88
163224318_K23010_F1A02-1311_1_22.jpg,train,0,3,11.54,4.878,1,58.0
163224318_K23010_F1A02-1311_1_22.jpg,train,0,4,6.47,4.429,0,55.75
163224318_K23010_F1A02-1311_1_22.jpg,train,1,0,6.96,4.404,0,72.16
163224318_K23010_F1A02-1311_1_22.jpg,train,1,1,7.05,4.342,0,77.72
163224318_K23010_F1A02-1311_1_22.jpg,train,1,2,9.92,4.776,1,75.14
163224318_K23010_F1A02-1311_1_22.jpg,train,1,3,13.45,5.236,1,57.89
163224318_K23010_F1A02-1311_1_22.jpg,train,1,4,7.91,4.269,0,56.64
163224318_K23010_F1A02-1311_1_22.jpg,train,2,0,8.2,4.262,1,79.88
163224318_K23010_F1A02-1311_1_22.jpg,train,2,1,7.82,3.814,0,81.51
163224318_K23010_F1A02-1311_1_22.jpg,train,2,2,12.16,4.688,1,80.64
163224318_K23010_F1A02-1311_1_22.jpg,train,2,3,19.61,5.735,1,74.56
163224318_K23010_F1A02-1311_1_22.jpg,train,2,4,7.82,4.793,0,57.6
163224318_K23010_F1A02-1311_1_22.jpg,train,3,0,4.01,3.651,0,81.06
163224318_K23010_F1A02-1311_1_22.jpg,train,3,1,3.78,3.523,0,79.86
163224318_K23010_F1A02-1311_1_22.jpg,train,3,2,4.55,4.106,0,73.35
163224318_K23010_F1A02-1311_1_22.jpg,train,3,3,11.18,4.753,1,69.21
163224318_K23010_F1A02-1311_1_22.jpg,train,3,4,7.83,4.812,0,56.28
163224318_K23010_F1A02-1311_1_22.jpg,train,4,0,17.51,4.825,1,63.88
163224318_K23010_F1A02-1311_1_22.jpg,train,4,1,17.5,4.76,1,60.78
163224318_K23010_F1A02-1311_1_22.jpg,train,4,2,14.07,4.809,1,58.76
163224318_K23010_F1A02-1311_1_22.jpg,train,4,3,10.07,4.326,1,51.85
163224318_K23010_F1A02-1311_1_22.jpg,train,4,4,5.93,4.222,0,46.31
163235467_K23428_F1A02-1333_1_22.jpg,train,0,0,7.32,4.613,0,62.57
163235467_K23428_F1A02-1333_1_22.jpg,train,0,1,8.13,4.686,1,69.48
163235467_K23428_F1A02-1333_1_22.jpg,train,0,2,4.41,3.945,0,76.69
163235467_K23428_F1A02-1333_1_22.jpg,train,0,3,7.01,4.545,0,68.69
163235467_K23428_F1A02-1333_1_22.jpg,train,0,4,5.2,4.346,0,61.85
163235467_K23428_F1A02-1333_1_22.jpg,train,1,0,7.79,4.554,0,72.77
163235467_K23428_F1A02-1333_1_22.jpg,train,1,1,11.75,5.111,1,75.9
163235467_K23428_F1A02-1333_1_22.jpg,train,1,2,9.72,3.877,1,80.56
163235467_K23428_F1A02-1333_1_22.jpg,train,1,3,11.05,5.043,1,70.61
163235467_K23428_F1A02-1333_1_22.jpg,train,1,4,9.55,4.814,1,60.13
163235467_K23428_F1A02-1333_1_22.jpg,train,2,0,6.53,3.988,0,79.59
163235467_K23428_F1A02-1333_1_22.jpg,train,2,1,9.61,4.154,1,82.19
163235467_K23428_F1A02-1333_1_22.jpg,train,2,2,16.39,4.908,1,83.16
163235467_K23428_F1A02-1333_1_22.jpg,train,2,3,20.95,5.444,1,71.68
163235467_K23428_F1A02-1333_1_22.jpg,train,2,4,10.06,5.037,1,51.99
163235467_K23428_F1A02-1333_1_22.jpg,train,3,0,4.79,3.811,0,80.49
163235467_K23428_F1A02-1333_1_22.jpg,train,3,1,5.38,3.641,0,81.73
163235467_K23428_F1A02-1333_1_22.jpg,train,3,2,8.12,4.605,1,76.3
163235467_K23428_F1A02-1333_1_22.jpg,train,3,3,14.23,5.315,1,66.27
163235467_K23428_F1A02-1333_1_22.jpg,train,3,4,10.44,5.04,1,51.08
163235467_K23428_F1A02-1333_1_22.jpg,train,4,0,12.04,5.14,1,74.42
163235467_K23428_F1A02-1333_1_22.jpg,train,4,1,8.35,4.74,1,79.18
163235467_K23428_F1A02-1333_1_22.jpg,train,4,2,6.5,4.677,0,72.41
163235467_K23428_F1A02-1333_1_22.jpg,train,4,3,6.36,4.511,0,62.17
163235467_K23428_F1A02-1333_1_22.jpg,train,4,4,6.2,4.418,0,50.86
163223253_K22976_F1A02-1309_1_22.jpg,train,0,0,7.33,4.621,0,65.32
163223253_K22976_F1A02-1309_1_22.jpg,train,0,1,5.9,4.347,0,72.84
163223253_K22976_F1A02-1309_1_22.jpg,train,0,2,10.28,4.785,1,70.45
163223253_K22976_F1A02-1309_1_22.jpg,train,0,3,11.35,5.006,1,59.9
163223253_K22976_F1A02-1309_1_22.jpg,train,0,4,7.02,4.469,0,54.47
163223253_K22976_F1A02-1309_1_22.jpg,train,1,0,7.4,4.464,0,72.01
163223253_K22976_F1A02-1309_1_22.jpg,train,1,1,6.94,4.373,0,77.56
163223253_K22976_F1A02-1309_1_22.jpg,train,1,2,9.33,4.757,1,75.96
163223253_K22976_F1A02-1309_1_22.jpg,train,1,3,13.58,5.215,1,58.82
163223253_K22976_F1A02-1309_1_22.jpg,train,1,4,8.86,4.532,1,55.7
163223253_K22976_F1A02-1309_1_22.jpg,train,2,0,9.19,4.338,1,80.89
163223253_K22976_F1A02-1309_1_22.jpg,train,2,1,9.69,3.745,1,82.52
163223253_K22976_F1A02-1309_1_22.jpg,train,2,2,12.77,4.577,1,82.2
163223253_K22976_F1A02-1309_1_22.jpg,train,2,3,19.51,5.749,1,75.66
163223253_K22976_F1A02-1309_1_22.jpg,train,2,4,6.65,4.61,0,58.8
163223253_K22976_F1A02-1309_1_22.jpg,train,3,0,4.03,3.637,0,82.02
